service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
"T0","1","1","1","1","1","0","0","20250217","20250413"
"T0#1","1","1","1","1","1","0","0","20250318","20250706"
"T0#10","1","1","1","1","1","0","0","20241215","20251213"
"T0#11","1","1","1","1","1","0","0","20250513","20250619"
"T0#12","1","1","1","1","1","0","0","20250101","20251213"
"T0#13","1","1","1","1","1","0","0","20250217","20250727"
"T0#14","1","1","1","1","1","0","0","20250401","20251213"
"T0#15","1","1","1","1","1","0","0","20241215","20250421"
"T0#16","1","1","1","1","1","0","0","20250422","20250518"
"T0#17","1","1","1","1","1","0","0","20250915","20251213"
"T0#18","1","1","1","1","1","0","0","20241215","20251213"
"T0#19","1","1","1","1","1","0","0","20250330","20251025"
"T0#2","1","1","1","1","1","0","0","20241215","20251213"
"T0#20","1","1","1","1","1","0","0","20250407","20250620"
"T0#21","1","1","1","1","1","0","0","20241215","20241223"
"T0#22","1","0","0","0","1","0","0","20241225","20241230"
"T0#23","1","1","1","1","1","0","0","20241215","20250401"
"T0#24","1","1","1","1","1","0","0","20250402","20251213"
"T0#25","1","1","1","1","1","0","0","20241215","20250421"
"T0#26","1","1","1","1","1","0","0","20250422","20251213"
"T0#27","1","1","1","1","1","0","0","20241215","20251213"
"T0#28","1","1","0","0","1","0","0","20250328","20250401"
"T0#29","1","1","1","1","1","0","0","20241215","20251213"
"T0#3","1","1","1","1","1","0","0","20241215","20241230"
"T0#30","1","1","1","1","1","0","0","20241215","20251213"
"T0#31","1","1","1","1","1","0","0","20250630","20250829"
"T0#32","1","1","1","1","1","0","0","20241215","20250901"
"T0#33","1","1","1","1","1","0","0","20250902","20251213"
"T0#34","1","1","1","1","1","0","0","20241215","20251213"
"T0#35","1","1","1","1","1","0","0","20250331","20251025"
"T0#36","1","1","1","1","1","0","0","20241215","20241230"
"T0#37","1","1","1","1","1","0","0","20250101","20250201"
"T0#38","1","1","1","1","1","0","0","20250202","20251213"
"T0#39","1","1","1","1","1","0","0","20241215","20250901"
"T0#4","1","1","1","1","1","0","0","20250101","20251213"
"T0#40","1","1","1","1","1","0","0","20241215","20250901"
"T0#41","1","1","1","1","1","0","0","20250101","20250323"
"T0#42","1","1","1","1","1","0","0","20250324","20250512"
"T0#43","1","1","1","1","1","0","0","20250620","20251213"
"T0#44","1","1","1","1","1","0","0","20241215","20241231"
"T0#45","1","1","1","1","1","0","0","20241215","20250601"
"T0#46","1","1","1","1","1","0","0","20250602","20251213"
"T0#47","1","1","1","1","1","0","0","20241215","20250405"
"T0#48","1","1","1","1","1","0","0","20250406","20250518"
"T0#49","1","1","1","1","1","0","0","20250412","20250421"
