"route_id","agency_id","route_short_name","route_long_name","route_type","route_color","route_text_color"
"11-SEV-1-j25-1",3,"SEV BB","Möllersdorf Lokalbahn - Tribuswinkel-Josefsthal SEV",3,"FFFFFF","000000"
"11-SEV-2-j25-2",3,"SEV BB","SEV am 11.5.2025",3,"FFFFFF","000000"
"11-SEV-3-j25-2",3,"SEV BB ","SEV am 11.5.2025",3,"FFFFFF","000000"
"11-WLB-j25-1",3,"BB","Wien Oper - Baden Josefsplatz",0,"0A295D","FFFFFF"
"11-WLB-j25-2",3,"BB","Oper/Karlsplatz U - Aßmayergasse - Inzersdorf Lokalbahn - Landesklinikum - Bahnhof - Josefsplatz",0,"0A295D","FFFFFF"
"11-WLB-j25-24",3,"BB","Oper/Karlsplatz U - Aßmayergasse - Inzersdorf Lokalbahn - Landesklinikum - Bahnhof - Josefsplatz",0,"0A295D","FFFFFF"
"11-WLB-j25-3",3,"BB","Oper/Karlsplatz U - Aßmayergasse - Inzersdorf Lokalbahn - Bahnhof - Landesklinikum - Bahnhof - Lokalbahn - Josefsplatz",0,"0A295D","FFFFFF"
"11-WLB-j25-31",3,"BB","Oper/Karlsplatz U - Aßmayergasse - Inzersdorf Lokalbahn - Landesklinikum - Bahnhof - Josefsplatz",0,"0A295D","FFFFFF"
"11-WLB-j25-4",3,"BB","Oper/Karlsplatz U - Aßmayergasse - Inzersdorf Lokalbahn - Lokalbahn - Landesklinikum - Lokalbahn - Josefsplatz",0,"0A295D","FFFFFF"
"11-WLB-j25-5",3,"BB","Oper/Karlsplatz U - Aßmayergasse - Inzersdorf Lokalbahn - Landesklinikum - Bahnhof - Josefsplatz am 8.12.2025",0,"0A295D","FFFFFF"
"11-WLB-j25-6",3,"BB","Oper/Karlsplatz U - Aßmayergasse - Inzersdorf Lokalbahn - Landesklinikum - Bahnhof - Josefsplatz",0,"0A295D","FFFFFF"
"21-U1-j25-1",4,"U1","Oberlaa - Leopoldau",1,"E3000F","FFFFFF"
"21-U1-j25-2",4,"U1","Oberlaa - Leopoldau",1,"E3000F","FFFFFF"
"21-U1-j25-24",4,"U1","Oberlaa - Leopoldau",1,"E3000F","FFFFFF"
"21-U1-j25-3",4,"U1","Oberlaa - Leopoldau Baustellenfahrplan",1,"E3000F","FFFFFF"
"21-U1-j25-31",4,"U1","Oberlaa - Leopoldau",1,"E3000F","FFFFFF"
"21-U1-j25-4",4,"U1","Oberlaa - Leopoldau Baustellenfahrplan",1,"E3000F","FFFFFF"
"21-U1-j25-5",4,"U1","Oberlaa - Leopoldau",1,"E3000F","FFFFFF"
"21-U1-j25-6",4,"U1","Oberlaa - Reumannplatz  -  Südtiroler Pl. - Leopoldau Baustellenfahrplan",1,"E3000F","FFFFFF"
"21-U2-j25-2",4,"U2","Seestadt - Schottentor",1,"A862A4","FFFFFF"
"21-U2-j25-24",4,"U2","Seestadt - Schottentor",1,"A862A4","FFFFFF"
"21-U2-j25-31",4,"U2","Seestadt - Schottentor",1,"A862A4","FFFFFF"
"21-U2-j25-90",4,"U2","Seestadt - Schottentor",1,"A862A4","FFFFFF"
"21-U3-j25-1",4,"U3","Ottakring - Simmering",1,"EF7C00","FFFFFF"
"21-U3-j25-2",4,"U3","Ottakring - Simmering",1,"EF7C00","FFFFFF"
"21-U3-j25-24",4,"U3","Ottakring - Simmering",1,"EF7C00","FFFFFF"
"21-U3-j25-25",4,"U3","Ottakring - Simmering",1,"EF7C00","FFFFFF"
"21-U3-j25-3",4,"U3","Ottakring - Simmering",1,"EF7C00","FFFFFF"
"21-U4-j25-1",4,"U4","Hütteldorf - Heiligenstadt",1,"319F49","FFFFFF"
"21-U4-j25-2",4,"U4","Hütteldorf - Heiligenstadt",1,"319F49","FFFFFF"
"21-U4-j25-24",4,"U4","Hütteldorf - Heiligenstadt",1,"319F49","FFFFFF"
"21-U4-j25-3",4,"U4","Hütteldorf - Heiligenstadt",1,"319F49","FFFFFF"
